Output_Dimension,Red_67_3_0_0_45,Red_83_3_0_0_45,Red_100_3_0_0_45,Red_116_3_0_0_45,Red_133_3_0_0_45,Green_67_3_0_0_45,Green_83_3_0_0_45,Green_100_3_0_0_45,Green_116_3_0_0_45,Green_133_3_0_0_45,Blue_67_3_0_0_45,Blue_83_3_0_0_45,Blue_100_3_0_0_45,Blue_116_3_0_0_45,Blue_133_3_0_0_45
48,58.20133149768317,69.30748137104158,79.2944870832798,86.24020826722996,88.23261599443664,69.11933592285423,76.26152275038932,81.68502459727685,82.75270945316497,81.54895500546257,71.18180981972738,80.76442937359703,85.36861912424217,87.40381550063476,86.36054606993054
49,57.96165859913766,69.01630373717992,79.08948869640393,86.16178782960286,88.32577524933983,69.24421673396223,76.33118816181413,81.68404298296025,82.79540886468573,81.69063521266003,71.17182818125507,80.70545138945067,85.25330296833481,87.33182504240716,86.37718483822272
50,57.721985700592136,68.72512610331827,78.88449030952806,86.08336739197576,88.41893450424301,69.36909754507023,76.40085357323892,81.68306136864365,82.83810827620647,81.83231541985747,71.16184654278277,80.64647340530433,85.13798681242743,87.25983458417956,86.3938236065149
51,57.48231280204662,68.43394846945662,78.67949192265218,86.00494695434865,88.51209375914618,69.49397835617822,76.47051898466373,81.68207975432705,82.88080768772723,81.9739956270549,71.15186490431046,80.587495421158,85.02267065652005,87.18784412595197,86.41046237480707
52,57.2426399035011,68.14277083559496,78.4744935357763,85.92652651672154,88.60525301404937,69.61885916728622,76.54018439608852,81.68109814001045,82.92350709924797,82.11567583425234,71.14188326583815,80.52851743701164,84.90735450061268,87.11585366772437,86.42710114309925
53,57.0029150848595,67.83740765798115,78.23833984624353,85.80096587685543,88.64508708526743,69.71404817344572,76.57799520606228,81.64050798239313,82.92103602717494,82.20560468567724,71.10233151014255,80.43277353482524,84.75121454665562,86.99882252614319,86.3995883596833
54,56.7631902662179,67.53204448036732,78.00218615671078,85.67540523698932,88.6849211564855,69.80923717960522,76.61580601603606,81.59991782477583,82.9185649551019,82.29553353710214,71.06277975444694,80.33702963263885,84.59507459269855,86.881791384562,86.37207557626736
55,56.5234654475763,67.22668130275349,77.76603246717801,85.54984459712321,88.72475522770358,69.9044261857647,76.65361682600982,81.55932766715853,82.91609388302886,82.38546238852706,71.02322799875132,80.24128573045245,84.4389346387415,86.76476024298084,86.34456279285142
56,56.283740628934694,66.92131812513966,77.52987877764524,85.4242839572571,88.76458929892165,69.9996151919242,76.69142763598359,81.51873750954122,82.91362281095583,82.47539123995196,70.98367624305571,80.14554182826605,84.28279468478443,86.64772910139966,86.31705000943548
57,56.04904719210432,66.60749359436701,77.28119125241699,85.28934849504168,88.80682954209264,70.09409840927755,76.72556347665635,81.47337719309613,82.91778290865463,82.58853324183578,70.94511745919773,80.04155236582017,84.11694729536251,86.52987210579013,86.3035913470285
